universities_id,universities_name
1164272.0,מכללה האקדמית להנדסה סמי שמעון (Sami Shamoon College of Engineering)
1164269.0,המרכז האקדמי רופין (Ruppin - The Academic Center)
1164264.0,האוניברסיטה הפתוחה (The Open University of Israel)
1164262.0,האוניברסיטה הפתוחה (The Open University of Israel)
1164261.0,המכללה האקדמית לחינוך גבעת וושינגטון (Religious Teachers Training College Givat Washington)
1164235.0,University of Windsor
1164221.0,Algonquin College
1164220.0,"""המכללה האקדמית לחינוך ""תלפיות (Talpiot College of Education)"
1164208.0,"קרית חינוך ע""ש א.סינגאלובסקי (ORT Syngalovski Academic College for Teachers in Technology)"
1164207.0,מכללת לוינסקי לחינוך (Levinsky College of Education)
1164205.0,סמינר הקיבוצים - המכללה לחינוך לטכנולוגיה ולאומנויות (Kibbutzim College of Education)
1164199.0,המכללה האקדמית של תל-אביב יפו (The Academic College of Tel-Aviv - Yaffo)
1164192.0,Capilano University (Capilano College)
1163678.0,FNUC
1163672.0,SMU
1163670.0,Dalhousie University
1163663.0,Université Laval
1163662.0,Douglas College
1163614.0,BCIT
1163606.0,VIU
1163605.0,SFU
1163604.0,Emily Carr University of Art and Design
1163596.0,UBC
1163586.0,"המכללה האקדמית לחינוך ע""ש קיי (Kaye Academic College of Education)"
1163585.0,MacEwan
1163580.0,NAIT
1163578.0,DeVry
1163576.0,U of A
1163562.0,SAIT Polytechnic
1163560.0,MRU
1163546.0,McGill University
1163545.0,HEC Montréal
1163535.0,"Université de Montréal (UdeM, UofM)"
1163533.0,ÉTS
1163529.0,Seneca College
1163511.0,"מכללת לחינוך ע""ש דוד ילין (The David Yellin College of Education)"
1163509.0,George Brown College
1163501.0,Brock University
1163500.0,Art Institute of Toronto
1163488.0,Academy of Design
1163485.0,OCAD
1163484.0,Ryerson University
1163475.0,UofT Mississauga
1163343.0,ZU
1163252.0,ГУ ИМЭИ
1163233.0,Kigali Independent University (ULK)
1163209.0,СПбМСИ
1163174.0,University of the District of Columbia
1163173.0,University of Phoenix - Washington Campus
1163170.0,Potomac College - Washington Campus
1163168.0,Howard University
1163166.0,George Washington University
1163162.0,American University
1162393.0,"[...И она будет улыбаться всегда... Просто потому что люди, окружающие ее, этого заслуживают...]"
1161941.0,Криминологический университет
1160596.0,UCAD
1157160.0,るろうに
1156499.0,University of Mauritius (UOM)
1155427.0,University of Delaware
1155359.0,Rhode Island School of Design
1154330.0,University of New Hampshire
1153186.0,University of Idaho
1153088.0,Boise State University
1152806.0,University of Nebraska at Omaha
1151512.0,Glenville State College
1149057.0,New Mexico Highlands University
1145412.0,University of Utah
1141752.0,University of Mississippi
1140244.0,Oklahoma State University - Oklahoma City
1140113.0,University of Oklahoma
1136906.0,UCA
1134575.0,הקריה האקדמית אונו (Ono Academic College)
1134554.0,Drake University
1134269.0,Iowa State University of Science and Technology
1132804.0,University of Connecticut - Stamford Campus
1132634.0,המכללה האקדמית עמק יזרעאל (Max Stern Academic College of Emek Yezreel)
1132530.0,Yale University
1130830.0,Fairfield University
1130084.0,здесь вам не малина.
1129270.0,University of Louisville
1129257.0,מכללה האקדמית להנדסה סמי שמעון (Sami Shamoon College of Engineering)
1129157.0,Portland State University
1127843.0,Louisiana State University in Shreveport
1127237.0,University of South Carolina - Aiken
1125833.0,University of Alabama
1125788.0,בית הספר הגבוה לטכנולוגיה בירושלים (Jerusalem College of Technology (JCT))
